date,temperature,humidity,luminosity
2022-11-17 15:09:58.541,25.5,35.2,1496
2022-11-17 15:09:53.497,25.4,35.3,1496
2022-11-17 15:09:48.455,25.5,35.4,1496
2022-11-17 15:09:43.412,25.5,35.4,1493
2022-11-17 15:09:38.368,25.5,35.4,1494
2022-11-17 15:09:33.325,25.5,35.5,1493
2022-11-17 15:09:28.281,25.5,35.8,1493
2022-11-17 15:09:23.238,25.5,36.0,1492
2022-11-17 15:09:18.194,25.5,36.0,1492
2022-11-17 15:09:13.151,25.5,35.9,1494
2022-11-17 15:09:08.107,25.4,35.6,1495
2022-11-17 15:09:03.064,25.4,35.5,1493
2022-11-17 15:08:58.021,25.5,35.4,1489
2022-11-17 15:08:52.978,25.5,35.4,1488
2022-11-17 15:08:47.935,25.5,35.2,1485
2022-11-17 15:08:42.892,25.4,35.0,1482
2022-11-17 15:08:37.848,25.5,35.2,1491
2022-11-17 15:08:32.804,25.5,35.4,1489
2022-11-17 15:08:27.760,25.4,35.6,1489
2022-11-17 15:08:22.718,25.4,35.7,1490
2022-11-17 15:08:17.674,25.4,35.8,1490
2022-11-17 15:08:12.631,25.4,35.7,1492
2022-11-17 15:08:07.589,25.4,35.7,1491
2022-11-17 15:08:02.545,25.4,35.6,1492
2022-11-17 15:07:57.502,25.4,35.6,1490
2022-11-17 15:07:52.458,25.4,35.7,1493
2022-11-17 15:07:47.415,25.4,35.7,1491
2022-11-17 15:07:42.371,25.4,35.7,1486
2022-11-17 15:07:37.327,25.4,35.6,1492
2022-11-17 15:07:32.284,25.3,35.7,1488
2022-11-17 15:07:27.241,25.3,35.6,1487
2022-11-17 15:07:22.198,25.3,35.5,1489
2022-11-17 15:07:17.154,25.3,35.5,1492
2022-11-17 15:07:12.111,25.3,35.4,1492
2022-11-17 15:06:26.745,25.4,35.5,1495
2022-11-17 15:06:21.702,25.4,35.3,1494
2022-11-17 15:06:16.657,25.4,35.2,1492
2022-11-17 15:06:11.614,25.4,35.3,1495
2022-11-17 15:06:06.570,25.4,35.2,1490
2022-11-17 15:06:01.526,25.4,35.2,1495
2022-11-17 15:05:56.483,25.4,35.2,1493
